"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"17.04.2023","48,07","48,55","48,71","48,07","2,38K","-1,74%"
"14.04.2023","48,92","48,77","48,99","48,62","1,74K","-0,31%"
"13.04.2023","49,07","49,26","49,58","48,99","6,01K","-0,16%"
"12.04.2023","49,15","48,41","49,15","48,26","13,02K","2,33%"
"11.04.2023","48,03","47,92","48,04","47,37","35,96K","0,27%"
"06.04.2023","47,90","47,81","48,18","47,65","107,62K","0,07%"
"05.04.2023","47,87","48,26","48,26","47,59","8,38K","0,26%"
"04.04.2023","47,74","48,31","48,55","47,52","21,04K","-0,43%"
"03.04.2023","47,94","47,54","48,10","47,42","93,01K","7,03%"
"31.03.2023","44,79","44,49","44,96","44,17","19,83K","0,80%"
"30.03.2023","44,44","43,98","44,54","43,98","106,85K","0,23%"
"29.03.2023","44,34","44,43","44,71","44,27","60,65K","0,24%"
"28.03.2023","44,24","44,23","44,35","44,00","15,69K","2,68%"
"27.03.2023","43,08","42,66","43,08","42,54","9,97K","2,63%"
"24.03.2023","41,97","42,76","42,76","41,16","31,41K","-2,81%"
"23.03.2023","43,19","42,95","43,62","42,84","48,98K","0,56%"
"22.03.2023","42,95","42,25","43,00","42,20","31,49K","2,19%"
"21.03.2023","42,03","42,22","42,48","41,86","7,06K","2,21%"
"20.03.2023","41,12","40,05","41,25","40,00","43,16K","-0,87%"
"17.03.2023","41,48","42,40","42,75","40,55","20,39K","-0,65%"
"16.03.2023","41,75","41,53","41,97","40,50","30,83K","2,34%"
"15.03.2023","40,79","44,05","44,21","40,54","42,42K","-8,35%"
"14.03.2023","44,51","44,79","45,11","44,27","95,44K","-2,60%"
"13.03.2023","45,70","46,52","46,52","44,15","93,66K","-1,72%"
"10.03.2023","46,50","45,50","46,50","45,32","55,89K","-0,28%"
"09.03.2023","46,63","46,24","46,71","46,09","4,08K","0,60%"
"08.03.2023","46,35","46,53","46,76","46,07","11,74K","-1,75%"
"07.03.2023","47,17","48,54","48,54","47,38","7,07K","-2,14%"
"06.03.2023","48,21","48,00","48,10","47,35","33,85K","0,85%"
"03.03.2023","47,80","47,31","47,80","46,22","1,90K","0,34%"
"02.03.2023","47,64","47,18","47,64","47,16","84,97K","1,88%"
"01.03.2023","46,76","46,98","47,10","46,40","7,46K","-0,15%"
"28.02.2023","46,83","46,40","47,06","46,37","7,85K","2,09%"
"27.02.2023","45,87","46,37","46,63","45,81","20,30K","-1,10%"
"24.02.2023","46,38","46,49","46,50","45,29","7,61K","1,76%"
"23.02.2023","45,58","45,22","45,88","45,12","1,66K","0,30%"
"22.02.2023","45,44","45,82","46,05","45,38","4,89K","-1,91%"
"21.02.2023","46,33","46,38","46,78","46,26","15,31K","-0,47%"
"20.02.2023","46,55","46,69","47,04","46,55","13,39K","0,66%"
"17.02.2023","46,24","46,90","46,90","45,72","11,15K","-3,03%"
"16.02.2023","47,69","47,90","47,90","47,32","46,28K","1,46%"
"15.02.2023","47,01","47,22","47,40","47,00","4,99K","-1,20%"
"14.02.2023","47,58","48,00","48,00","47,20","6,37K","-0,68%"
"13.02.2023","47,90","47,67","48,01","47,51","6,56K","-0,36%"
"10.02.2023","48,08","46,99","48,35","46,98","79,91K","2,68%"
"09.02.2023","46,82","47,43","47,55","46,38","110,84K","0,01%"
"08.02.2023","46,81","46,85","47,20","46,70","18,23K","1,07%"
"07.02.2023","46,32","45,83","46,32","45,50","77,91K","3,67%"
"06.02.2023","44,68","44,98","45,23","44,16","74,88K","-1,74%"
"03.02.2023","45,47","45,67","46,91","45,47","37,96K","-0,96%"
"02.02.2023","45,91","46,32","46,35","45,40","26,12K","-2,57%"
"01.02.2023","47,12","47,75","47,96","47,00","64,02K","-0,65%"
"31.01.2023","47,43","46,85","47,68","46,34","11,34K","-0,42%"
"30.01.2023","47,63","47,79","48,09","47,14","50,67K","-1,18%"
"27.01.2023","48,20","48,86","49,30","48,20","39,41K","-1,27%"
"26.01.2023","48,82","48,11","49,00","48,11","5,09K","0,76%"
