date,Fech_PETR4,Fech_BRENT,Fech_PRIO3
2022-04-19,31.65,50.95,24.66
2022-04-20,31.799999,51.08,25.700001
2022-04-22,30.559999,50.91,24.48
2022-04-25,30.110001,47.6,24.700001
2022-04-26,30.059999,50.0,25.309999
2022-04-27,30.059999,49.76,25.59
2022-04-28,30.26,50.94,26.280001
2022-04-29,30.280001,51.97,26.700001
2022-05-03,30.25,50.74,25.83
2022-05-04,32.07,51.98,27.33
2022-05-05,32.009998,53.24,26.549999
2022-05-06,33.060001,54.15,26.5
2022-05-09,32.16,50.91,24.219999
2022-05-10,32.439999,49.66,24.27
2022-05-11,33.57,51.37,25.49
2022-05-12,33.830002,51.69,26.139999
2022-05-13,34.27,52.74,27.09
2022-05-16,34.610001,53.32,27.059999
2022-05-17,34.16,54.22,26.52
2022-05-18,33.599998,51.9,25.18
2022-05-19,34.169998,52.09,24.870001
2022-05-20,34.830002,52.86,25.48
2022-05-23,36.200001,53.23,26.17
2022-05-24,31.6,53.24,27.190001
2022-05-25,32.049999,53.39,27.469999
2022-05-26,32.130001,54.86,27.98
2022-05-27,30.6,54.97,28.719999
2022-05-30,29.99,56.11,28.26
2022-05-31,30.059999,56.64,27.99
2022-06-01,30.02,56.47,28.15
2022-06-06,30.299999,57.46,27.059999
2022-06-07,30.66,57.99,27.309999
2022-06-08,30.51,59.17,27.799999
2022-06-09,30.07,59.46,27.219999
2022-06-10,29.65,58.24,27.1
2022-06-13,29.27,57.94,26.030001
2022-06-14,29.6,59.5,25.639999
2022-06-15,29.08,57.76,25.26
2022-06-17,27.309999,54.89,23.040001
2022-06-20,27.620001,54.73,22.84
2022-06-21,27.07,55.09,22.73
2022-06-22,26.99,53.18,21.27
2022-06-23,26.49,53.05,20.469999
2022-06-24,26.290001,54.19,21.530001
2022-06-27,27.98,54.61,22.67
2022-06-28,28.33,55.64,22.66
2022-06-29,28.08,56.33,22.469999
2022-06-30,27.93,54.44,21.99
2022-07-01,28.530001,54.59,22.1
2022-07-04,29.139999,56.1,22.790001
2022-07-05,28.030001,50.65,21.17
2022-07-06,27.67,49.62,20.889999
2022-07-07,28.48,52.29,21.219999
2022-07-08,28.799999,52.62,21.76
2022-07-11,28.66,52.46,21.92
2022-07-12,28.23,49.42,22.24
2022-07-13,28.25,49.04,21.59
2022-07-14,27.49,47.87,20.76
2022-07-15,27.959999,49.85,20.700001
2022-07-18,28.6,51.67,22.09
2022-07-19,29.18,51.66,22.360001
2022-07-20,29.17,52.03,22.26
2022-07-21,29.02,50.84,22.84
2022-07-22,29.33,51.35,22.67
2022-07-25,30.700001,51.06,23.610001
2022-07-26,31.01,51.46,23.74
2022-07-27,31.35,52.06,23.690001
2022-07-28,32.290001,52.53,23.790001
2022-07-29,34.150002,53.94,24.219999
2022-08-01,33.68,50.86,23.370001
2022-08-02,33.830002,51.58,23.389999
2022-08-03,33.849998,50.96,23.76
2022-08-04,34.209999,48.48,23.35
2022-08-05,34.869999,49.21,24.07
2022-08-08,36.630001,49.62,24.65
2022-08-09,37.23,50.17,25.049999
2022-08-10,37.110001,49.52,24.799999
2022-08-11,36.25,51.09,25.360001
2022-08-12,31.709999,50.76,25.870001
2022-08-15,31.719999,48.83,25.33
2022-08-16,32.009998,48.38,24.32
2022-08-17,32.759998,48.42,24.34
2022-08-18,33.419998,50.04,24.639999
2022-08-19,31.73,50.41,23.969999
2022-08-22,32.41,49.4,23.42
2022-08-23,33.439999,51.65,25.110001
2022-08-24,33.639999,51.81,25.98
2022-08-25,33.279999,52.54,26.389999
2022-08-26,33.639999,51.24,26.559999
2022-08-30,32.43,51.58,26.870001
2022-08-31,33.23,50.35,27.309999
2022-09-01,33.849998,48.64,27.200001
2022-09-02,33.419998,49.44,27.75
2022-09-05,33.34,50.04,29.540001
2022-09-06,32.099998,49.12,28.719999
2022-09-08,31.799999,46.63,27.549999
2022-09-09,31.790001,48.02,28.049999
2022-09-12,31.48,49.52,27.6
2022-09-13,30.65,48.66,27.030001
2022-09-14,31.120001,49.46,28.41
2022-09-15,31.059999,47.71,27.700001
2022-09-16,30.780001,47.99,28.02
2022-09-20,31.09,47.01,28.33
2022-09-21,31.17,46.92,28.530001
2022-09-22,31.940001,47.46,29.549999
2022-09-23,29.940001,45.41,28.120001
2022-09-26,29.290001,44.49,28.120001
2022-09-27,29.67,44.72,27.18
2022-09-28,29.27,45.85,27.91
2022-09-29,29.309999,46.21,27.23
2022-09-30,29.799999,45.7,27.530001
2022-10-03,32.18,46.53,28.940001
2022-10-04,31.370001,48.35,30.33
