date,Fech_BRENT,Fech_PRIO3
2022-04-19,50.95,24.66
2022-04-20,51.08,25.700001
2022-04-22,50.91,24.48
2022-04-25,47.6,24.700001
2022-04-26,50.0,25.309999
2022-04-27,49.76,25.59
2022-04-28,50.94,26.280001
2022-04-29,51.97,26.700001
2022-05-03,50.74,25.83
2022-05-04,51.98,27.33
2022-05-05,53.24,26.549999
2022-05-06,54.15,26.5
2022-05-09,50.91,24.219999
2022-05-10,49.66,24.27
2022-05-11,51.37,25.49
2022-05-12,51.69,26.139999
2022-05-13,52.74,27.09
2022-05-16,53.32,27.059999
2022-05-17,54.22,26.52
2022-05-18,51.9,25.18
2022-05-19,52.09,24.870001
2022-05-20,52.86,25.48
2022-05-23,53.23,26.17
2022-05-24,53.24,27.190001
2022-05-25,53.39,27.469999
2022-05-26,54.86,27.98
2022-05-27,54.97,28.719999
2022-05-30,56.11,28.26
2022-05-31,56.64,27.99
2022-06-01,56.47,28.15
2022-06-06,57.46,27.059999
2022-06-07,57.99,27.309999
2022-06-08,59.17,27.799999
2022-06-09,59.46,27.219999
2022-06-10,58.24,27.1
2022-06-13,57.94,26.030001
2022-06-14,59.5,25.639999
2022-06-15,57.76,25.26
2022-06-17,54.89,23.040001
2022-06-20,54.73,22.84
2022-06-21,55.09,22.73
2022-06-22,53.18,21.27
2022-06-23,53.05,20.469999
2022-06-24,54.19,21.530001
2022-06-27,54.61,22.67
2022-06-28,55.64,22.66
2022-06-29,56.33,22.469999
2022-06-30,54.44,21.99
2022-07-01,54.59,22.1
2022-07-04,56.1,22.790001
2022-07-05,50.65,21.17
2022-07-06,49.62,20.889999
2022-07-07,52.29,21.219999
2022-07-08,52.62,21.76
2022-07-11,52.46,21.92
2022-07-12,49.42,22.24
2022-07-13,49.04,21.59
2022-07-14,47.87,20.76
2022-07-15,49.85,20.700001
2022-07-18,51.67,22.09
2022-07-19,51.66,22.360001
2022-07-20,52.03,22.26
2022-07-21,50.84,22.84
2022-07-22,51.35,22.67
2022-07-25,51.06,23.610001
2022-07-26,51.46,23.74
2022-07-27,52.06,23.690001
2022-07-28,52.53,23.790001
2022-07-29,53.94,24.219999
2022-08-01,50.86,23.370001
2022-08-02,51.58,23.389999
2022-08-03,50.96,23.76
2022-08-04,48.48,23.35
2022-08-05,49.21,24.07
2022-08-08,49.62,24.65
2022-08-09,50.17,25.049999
2022-08-10,49.52,24.799999
2022-08-11,51.09,25.360001
2022-08-12,50.76,25.870001
