date,Fech_PETR4,Fech_PRIO3
2022-04-18,30.719999,24.84
2022-04-19,31.65,24.66
2022-04-20,31.799999,25.700001
2022-04-22,30.559999,24.48
2022-04-25,30.110001,24.700001
2022-04-26,30.059999,25.309999
2022-04-27,30.059999,25.59
2022-04-28,30.26,26.280001
2022-04-29,30.280001,26.700001
2022-05-02,29.98,25.15
2022-05-03,30.25,25.83
2022-05-04,32.07,27.33
2022-05-05,32.009998,26.549999
2022-05-06,33.060001,26.5
2022-05-09,32.16,24.219999
2022-05-10,32.439999,24.27
2022-05-11,33.57,25.49
2022-05-12,33.830002,26.139999
2022-05-13,34.27,27.09
2022-05-16,34.610001,27.059999
2022-05-17,34.16,26.52
2022-05-18,33.599998,25.18
2022-05-19,34.169998,24.870001
2022-05-20,34.830002,25.48
2022-05-23,36.200001,26.17
2022-05-24,31.6,27.190001
2022-05-25,32.049999,27.469999
2022-05-26,32.130001,27.98
2022-05-27,30.6,28.719999
2022-05-30,29.99,28.26
2022-05-31,30.059999,27.99
2022-06-01,30.02,28.15
2022-06-02,29.76,28.700001
2022-06-03,30.280001,27.809999
2022-06-06,30.299999,27.059999
2022-06-07,30.66,27.309999
2022-06-08,30.51,27.799999
2022-06-09,30.07,27.219999
2022-06-10,29.65,27.1
2022-06-13,29.27,26.030001
2022-06-14,29.6,25.639999
2022-06-15,29.08,25.26
2022-06-17,27.309999,23.040001
2022-06-20,27.620001,22.84
2022-06-21,27.07,22.73
2022-06-22,26.99,21.27
2022-06-23,26.49,20.469999
2022-06-24,26.290001,21.530001
2022-06-27,27.98,22.67
2022-06-28,28.33,22.66
2022-06-29,28.08,22.469999
2022-06-30,27.93,21.99
2022-07-01,28.530001,22.1
2022-07-04,29.139999,22.790001
2022-07-05,28.030001,21.17
2022-07-06,27.67,20.889999
2022-07-07,28.48,21.219999
2022-07-08,28.799999,21.76
2022-07-11,28.66,21.92
2022-07-12,28.23,22.24
2022-07-13,28.25,21.59
2022-07-14,27.49,20.76
2022-07-15,27.959999,20.700001
2022-07-18,28.6,22.09
2022-07-19,29.18,22.360001
2022-07-20,29.17,22.26
2022-07-21,29.02,22.84
2022-07-22,29.33,22.67
2022-07-25,30.700001,23.610001
2022-07-26,31.01,23.74
2022-07-27,31.35,23.690001
2022-07-28,32.290001,23.790001
2022-07-29,34.150002,24.219999
2022-08-01,33.68,23.370001
2022-08-02,33.830002,23.389999
2022-08-03,33.849998,23.76
2022-08-04,34.209999,23.35
2022-08-05,34.869999,24.07
2022-08-08,36.630001,24.65
2022-08-09,37.23,25.049999
2022-08-10,37.110001,24.799999
2022-08-11,36.25,25.360001
2022-08-12,31.709999,25.870001
2022-08-15,31.719999,25.33
2022-08-16,32.009998,24.32
2022-08-17,32.759998,24.34
2022-08-18,33.419998,24.639999
2022-08-19,31.73,23.969999
2022-08-22,32.41,23.42
2022-08-23,33.439999,25.110001
2022-08-24,33.639999,25.98
2022-08-25,33.279999,26.389999
2022-08-26,33.639999,26.559999
2022-08-29,34.48,27.23
2022-08-30,32.43,26.870001
2022-08-31,33.23,27.309999
2022-09-01,33.849998,27.200001
2022-09-02,33.419998,27.75
2022-09-05,33.34,29.540001
2022-09-06,32.099998,28.719999
2022-09-08,31.799999,27.549999
2022-09-09,31.790001,28.049999
2022-09-12,31.48,27.6
2022-09-13,30.65,27.030001
2022-09-14,31.120001,28.41
2022-09-15,31.059999,27.700001
2022-09-16,30.780001,28.02
2022-09-19,31.27,28.08
2022-09-20,31.09,28.33
2022-09-21,31.17,28.530001
2022-09-22,31.940001,29.549999
2022-09-23,29.940001,28.120001
2022-09-26,29.290001,28.120001
2022-09-27,29.67,27.18
